country,field,label,pillar,required_for_ranking,value,provider_id,source_url,source_title,source_date,reference_period,source_scope,proxy_status,notes
Argentina,administrative_investment_friction_raw,Administrative and investment friction,creative,yes,2.98,derived,https://api.worldbank.org/v2/country/ARG/indicator/RQ.EST?format=json&mrv=10,World Bank WGI: Regulatory Quality (inverted as friction proxy),2024-12-31,2024 annual,national,approved_proxy,
Argentina,civic_freedom_raw,Civic freedom and dignity (HRMI + Freedom House + V-Dem composite),community,yes,70,derived,https://rightstracker.org/,Civic Freedom Composite: 0.4 × HRMI Empowerment + 0.3 × Freedom House FIW + 0.3 × V-Dem Liberal Democracy Index (×100). Argentina composite = 70,2024-12-31,2024 annual,national,approved_proxy,
Argentina,cultural_public_life_raw,"Cultural, historic, and public-life vitality",community,yes,161.92,national_statistical_office,https://api.worldbank.org/v2/country/ARG/indicator/ST.INT.ARVL?format=json&mrv=10,World Bank WDI: International tourism arrivals per 1 000 population,2024-12-31,2024 annual,national,approved_proxy,
Argentina,digital_infrastructure_raw,Digital infrastructure,viability,yes,25.36,derived,https://api.worldbank.org/v2/country/ARG/indicator/IT.NET.BBND.P2?format=json&mrv=10,World Bank WDI: Fixed broadband subscriptions (per 100 people),2024-12-31,2024 annual,national,approved_proxy,
Argentina,entrepreneurial_dynamism_raw,Entrepreneurial dynamism,creative,yes,0.2,derived,https://api.worldbank.org/v2/country/ARG/indicator/IC.BUS.NDNS.ZS?format=json&mrv=10,"World Bank WDI: New business density (new registrations per 1,000 people ages 15-64)",2024-12-31,2024 annual,national,approved_proxy,
Argentina,gdp_growth,GDP growth,creative,yes,-1.3429,world_bank,https://api.worldbank.org/v2/country/ARG/indicator/NY.GDP.MKTP.KD.ZG?format=json&mrv=30,World Bank WDI: GDP growth (annual %),2024-12-31,as_of 2024-12-31,international,direct,auto_seed=world_bank_wdi; indicator=NY.GDP.MKTP.KD.ZG; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
Argentina,gdp_growth_context,Economic growth momentum,pressure,no,-1.34,derived,https://api.worldbank.org/v2/country/ARG/indicator/NY.GDP.MKTP.KD.ZG?format=json&mrv=30,World Bank WDI: GDP growth (annual %),2024-12-31,2024 annual,national,approved_proxy,
Argentina,gdp_per_capita_ppp,GDP per capita (PPP),creative,yes,30431.19,world_bank,https://api.worldbank.org/v2/country/ARG/indicator/NY.GDP.PCAP.PP.CD?format=json&mrv=30,"World Bank WDI: GDP per capita, PPP (current international $)",2024-12-31,as_of 2024-12-31,international,direct,auto_seed=world_bank_wdi; indicator=NY.GDP.PCAP.PP.CD; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
Argentina,gini_coefficient,Gini coefficient,capability,yes,42.4,world_bank,https://api.worldbank.org/v2/country/ARG/indicator/SI.POV.GINI?format=json&mrv=30,World Bank WDI: Gini index,2024-12-31,as_of 2024-12-31,international,direct,auto_seed=world_bank_wdi; indicator=SI.POV.GINI; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
Argentina,hanke_misery_raw,Macroeconomic stress (Hanke Misery Index),pressure,yes,88.35,derived,https://fortune.com/2026/04/16/hanke-annual-misery-index-2025-venezuela-taiwan-rankings/,Hanke Annual Misery Index 2025 (published): Argentina score 88.35,2025-12-31,2024 annual,national,approved_proxy,
Argentina,hospitality_belonging_raw,Hospitality and belonging,community,yes,50.06,derived,https://api.worldbank.org/v2/country/ARG/indicator/SM.POP.NETM?format=json&mrv=10,World Bank WDI: Net migration (proxy for hospitality/belonging — positive = welcoming),2024-12-31,2024 annual,national,approved_proxy,
Argentina,household_debt_proxy,Household debt proxy,pressure,yes,13.0788,world_bank,https://api.worldbank.org/v2/country/ARG/indicator/FD.AST.PRVT.GD.ZS?format=json&mrv=30,World Bank WDI: Domestic credit to private sector by banks (% of GDP) used as interim leverage proxy,2024-12-31,as_of 2024-12-31,international,approved_proxy,auto_seed=world_bank_wdi; proxy=broad_private_credit_not_household_only; indicator=FD.AST.PRVT.GD.ZS; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
Argentina,personal_safety_raw,Personal safety,viability,yes,4.49,derived,https://api.worldbank.org/v2/country/ARG/indicator/VC.IHR.PSRC.P5?format=json&mrv=10,"UNODC via World Bank WDI: Intentional homicides (per 100,000 people)",2024-12-31,2024 annual,national,approved_proxy,
Argentina,ppp_private_consumption,PPP private consumption factor,pressure,yes,42.98624,world_bank,https://api.worldbank.org/v2/country/ARG/indicator/PA.NUS.PRVT.PP?format=json&mrv=30,"World Bank WDI: PPP conversion factor, private consumption (LCU per international $)",2021-12-31,as_of 2021-12-31,international,direct,auto_seed=world_bank_wdi; indicator=PA.NUS.PRVT.PP; observation_year=2021; dataset_lastupdated=2026-02-24; stale=yes
Argentina,tax_rate_assumption,Tax rate assumption,pressure,yes,0.099289,world_bank,https://api.worldbank.org/v2/country/ARG/indicator/GC.TAX.TOTL.GD.ZS?format=json&mrv=30,World Bank WDI: Tax revenue (% of GDP) used as interim country average tax-take proxy,2023-12-31,as_of 2023-12-31,international,approved_proxy,auto_seed=world_bank_wdi; proxy=country_average_tax_take_from_tax_revenue_share; indicator=GC.TAX.TOTL.GD.ZS; observation_year=2023; dataset_lastupdated=2026-02-24; stale=no
Australia,administrative_investment_friction_raw,Administrative and investment friction,creative,yes,0.56,derived,https://api.worldbank.org/v2/country/AUS/indicator/RQ.EST?format=json&mrv=10,World Bank WGI: Regulatory Quality (inverted as friction proxy),2024-12-31,2024 annual,national,approved_proxy,
Australia,civic_freedom_raw,Civic freedom and dignity (HRMI + Freedom House + V-Dem composite),community,yes,85,derived,https://rightstracker.org/,Civic Freedom Composite: 0.4 × HRMI Empowerment + 0.3 × Freedom House FIW + 0.3 × V-Dem Liberal Democracy Index (×100). Australia composite = 85,2024-12-31,2024 annual,national,approved_proxy,
Australia,cultural_public_life_raw,"Cultural, historic, and public-life vitality",community,yes,67.21,national_statistical_office,https://api.worldbank.org/v2/country/AUS/indicator/ST.INT.ARVL?format=json&mrv=10,World Bank WDI: International tourism arrivals per 1 000 population,2024-12-31,2024 annual,national,approved_proxy,
Australia,digital_infrastructure_raw,Digital infrastructure,viability,yes,36.6,derived,https://api.worldbank.org/v2/country/AUS/indicator/IT.NET.BBND.P2?format=json&mrv=10,World Bank WDI: Fixed broadband subscriptions (per 100 people),2024-12-31,2024 annual,national,approved_proxy,
Australia,gdp_growth,GDP growth,creative,yes,1.3734,world_bank,https://api.worldbank.org/v2/country/AUS/indicator/NY.GDP.MKTP.KD.ZG?format=json&mrv=30,World Bank WDI: GDP growth (annual %),2024-12-31,as_of 2024-12-31,international,direct,auto_seed=world_bank_wdi; indicator=NY.GDP.MKTP.KD.ZG; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
Australia,gdp_growth_context,Economic growth momentum,pressure,no,1.37,derived,https://api.worldbank.org/v2/country/AUS/indicator/NY.GDP.MKTP.KD.ZG?format=json&mrv=30,World Bank WDI: GDP growth (annual %),2024-12-31,2024 annual,national,approved_proxy,
Australia,gdp_per_capita_ppp,GDP per capita (PPP),creative,yes,72111.18,world_bank,https://api.worldbank.org/v2/country/AUS/indicator/NY.GDP.PCAP.PP.CD?format=json&mrv=30,"World Bank WDI: GDP per capita, PPP (current international $)",2024-12-31,as_of 2024-12-31,international,direct,auto_seed=world_bank_wdi; indicator=NY.GDP.PCAP.PP.CD; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
Australia,gini_coefficient,Gini coefficient,capability,yes,33.8,world_bank,https://api.worldbank.org/v2/country/AUS/indicator/SI.POV.GINI?format=json&mrv=30,World Bank WDI: Gini index,2020-12-31,as_of 2020-12-31,international,direct,auto_seed=world_bank_wdi; indicator=SI.POV.GINI; observation_year=2020; dataset_lastupdated=2026-02-24; stale=no
Australia,hanke_misery_raw,Macroeconomic stress (Hanke Misery Index),pressure,yes,19.31,derived,https://fortune.com/2026/04/16/hanke-annual-misery-index-2025-venezuela-taiwan-rankings/,Hanke Annual Misery Index 2025 (published): Australia score 19.31,2025-12-31,2024 annual,national,approved_proxy,
Australia,hospitality_belonging_raw,Hospitality and belonging,community,yes,55.04,derived,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&mrv=10,World Bank WDI: Net migration (proxy for hospitality/belonging — positive = welcoming),2024-12-31,2024 annual,national,approved_proxy,
Australia,household_debt_effective_raw,Household debt burden,pressure,yes,175,derived,https://www.rba.gov.au/statistics/tables/,RBA / OECD: Australian household debt-to-disposable-income ratio,2024-12-31,2024 annual,national,approved_proxy,
Australia,household_debt_proxy,Household debt proxy,pressure,yes,129.3173,world_bank,https://api.worldbank.org/v2/country/AUS/indicator/FD.AST.PRVT.GD.ZS?format=json&mrv=30,World Bank WDI: Domestic credit to private sector by banks (% of GDP) used as interim leverage proxy,2024-12-31,as_of 2024-12-31,international,approved_proxy,auto_seed=world_bank_wdi; proxy=broad_private_credit_not_household_only; indicator=FD.AST.PRVT.GD.ZS; observation_year=2024; dataset_lastupdated=2026-02-24; stale=no
