city_id,cohort,manifest_status,city_type,country,inclusion_rationale
th-bangkok,Southeast Asia,locked,primary,Thailand,"User anchor and regional benchmark for hospitality, economic dynamism, and affordability-pressure tradeoffs."
sg-singapore,Southeast Asia,locked,primary,Singapore,"Global convenience benchmark included to test how systems quality interacts with pressure, cost, and meaning."
my-kuala-lumpur,Southeast Asia,locked,primary,Malaysia,"User anchor and regional economic core with strong competitiveness, connectivity, and mixed affordability."
id-jakarta,Southeast Asia,provisional,primary,Indonesia,"Necessary Southeast Asian benchmark for scale, competitiveness, and infrastructure-pressure tradeoffs."
ph-makati,Southeast Asia,provisional,primary,Philippines,"Metro-core Philippine test case included for business density, services, and lived-affordability stress."
my-george-town,Southeast Asia,locked,secondary,Malaysia,"User anchor for semiconductor economy, cultural texture, and secondary-city livability."
th-phuket,Southeast Asia,locked,secondary,Thailand,"User anchor and tourism-livability stress test for cost, safety, and service quality."
th-chiang-mai,Southeast Asia,locked,secondary,Thailand,"User anchor for creativity, secondary-city ambition, and lifestyle viability."
my-kuching,Southeast Asia,locked,secondary,Malaysia,User anchor included as a calmer secondary-city comparator with strong everyday livability appeal.
my-kota-kinabalu,Southeast Asia,provisional,secondary,Malaysia,"User anchor — nature tourism, safety, and affordable livability on Borneo's coast."
my-melaka,Southeast Asia,provisional,secondary,Malaysia,"User anchor — deep cultural heritage, food scene, and underrated livability."
th-hat-yai,Southeast Asia,provisional,secondary,Thailand,Southern Thai trade and services challenger included to test regional depth beyond capital-city bias.
tw-taipei,East Asia,locked,primary,Taiwan,"High-systems, high-street-life benchmark aligned with earlier SLIC discussion."
kr-busan,East Asia,locked,primary,South Korea,"User anchor for second-city infrastructure quality, coastal livability, and economic competence."
cn-shanghai,East Asia,provisional,primary,China,Economic gravity benchmark included to test how mega-city capability meets affordability and civic-pressure tradeoffs.
cn-shenzhen,East Asia,provisional,primary,China,Innovation and manufacturing benchmark included for productive economic strength and high-pressure urban modernity.
cn-chengdu,East Asia,provisional,primary,China,"Western China lifestyle benchmark included for food culture, livability, and economic dynamism beyond coastal mega-cities."
cn-chongqing,East Asia,provisional,primary,China,"Interior mega-city benchmark included for urban energy, affordability, and infrastructure ambition."
cn-hangzhou,East Asia,provisional,primary,China,Digital economy and cultural heritage benchmark included for tech-lifestyle balance and livability.
jp-hiroshima,East Asia,provisional,primary,Japan,Provisional Japanese primary candidate with stronger everyday scale than megacity peers.
kr-suwon,East Asia,provisional,primary,South Korea,"User anchor — strong challenger to Seoul with better livability, culture, and everyday quality."
kr-jeju-city,East Asia,locked,secondary,South Korea,"User anchor for lifestyle quality, hospitality, and island-scale livability."
jp-fukuoka,East Asia,locked,secondary,Japan,"User anchor and strong challenger city for innovation, access, and livability balance."
jp-kobe,East Asia,locked,secondary,Japan,User anchor included as a port-city benchmark with strong urban form and quality-of-life reputation.
jp-sapporo,East Asia,locked,secondary,Japan,User anchor and climate-diversified challenger with strong everyday manageability.
cn-tianjin,East Asia,provisional,secondary,China,"Secondary East Asian challenger included for industrial relevance, port-city utility, and relief from capital-city prestige bias."
