city_id,display_name,country,cohort,field,label,pillar,required_for_ranking,value,provider_id,source_url,source_title,source_date,notes
th-bangkok,Bangkok,Thailand,Southeast Asia,gross_income,Gross income,pressure,yes,42000.0,slic_analyst,https://www.nso.go.th/,"Bangkok median formal-sector income ~42,000 THB/month. NSO Labour Force Survey.",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,rent,Rent,pressure,yes,15000.0,slic_analyst,https://www.numbeo.com/cost-of-living/in/Bangkok,"Bangkok 1BR city center ~15,000 THB",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,utilities,Utilities,pressure,yes,2000.0,slic_analyst,https://www.mea.or.th/,"Bangkok utilities ~2,000 THB/month — electricity + water",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,transit_cost,Transit cost,pressure,yes,1200.0,slic_analyst,https://www.bts.co.th/,"Bangkok BTS/MRT monthly ~1,200 THB",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,internet_cost,Internet cost,pressure,yes,700.0,slic_analyst,https://www.nbtc.go.th/,Bangkok fiber ~700 THB/month,2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,food_cost,Food cost,pressure,yes,6000.0,slic_analyst,https://www.numbeo.com/cost-of-living/in/Bangkok,"Bangkok food extremely cheap — street food 40-100 THB, restaurant 100-300 THB",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,housing_burden_raw,Housing burden raw,pressure,yes,25.0,slic_analyst,https://www.bot.or.th/,"Bangkok housing extremely affordable relative to quality — condos $300-800, houses cheaper outside center",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,household_debt_burden_raw,Household debt burden raw,pressure,yes,75.0,slic_analyst,https://www.bot.or.th/,Bangkok formal-sector household debt lower than national aggregate. Strong informal economy supplements.,2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,working_time_pressure_raw,Working time pressure raw,pressure,yes,38.0,slic_analyst,https://www.mol.go.th/,"Thailand actual work intensity lower than reported hours — sanuk culture, flexible schedules common",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,suicide_mental_strain_raw,Suicide or mental strain raw,pressure,yes,16.59,who_gho,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SDGSUICIDE,"WHO GHO: Age-standardized suicide rate (per 100,000 population)",2021-12-31,auto_ingest=who_gho; indicator=SDGSUICIDE; year=2021; country_proxy=Thailand
th-bangkok,Bangkok,Thailand,Southeast Asia,personal_safety_raw,Personal safety raw,viability,yes,2.2,world_bank,https://api.worldbank.org/v2/country/THA/indicator/VC.IHR.PSRC.P5?format=json&mrv=10,"UNODC via World Bank WDI: Intentional homicides (per 100,000 people)",2023-12-31,manual_seed=unodc_who; indicator=VC.IHR.PSRC.P5; year=2023; country_proxy=Thailand
th-bangkok,Bangkok,Thailand,Southeast Asia,transit_access_commute_raw,Transit access and commute raw,viability,yes,62.0,slic_analyst,https://www.bts.co.th/,"Bangkok BTS/MRT expanding rapidly, plus motorcycle taxis, Grab, boats. Accessible despite traffic.",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,clean_air_raw,Clean air raw,viability,yes,25.0,thai_gov_pcd_rsc,https://www.pcd.go.th/,Thailand PCD Annual Air Quality Report — Bangkok PM2.5 annual mean,2024-12-31,auto_ingest=thai_city_indicators; metric=pm25_annual_mean; value=25.0 ug/m3; source=PCD+IQAir
th-bangkok,Bangkok,Thailand,Southeast Asia,water_sanitation_utility_raw,"Water, sanitation, and utility raw",viability,yes,93.0,who_unicef_jmp,https://washdata.org,UNICEF/WHO JMP: People using safely managed drinking water services (% of population),2023-12-31,manual_seed=jmp_washdata; indicator=safely_managed_water; year=2023; country_proxy=Thailand
th-bangkok,Bangkok,Thailand,Southeast Asia,digital_infrastructure_raw,Digital infrastructure raw,viability,yes,55.0,slic_analyst,https://www.nbtc.go.th/,"Bangkok 5G deployed, fiber broadband, PromptPay digital payments ubiquitous, e-gov improving",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,climate_sunlight_livability_raw,Climate and sunlight livability raw,viability,yes,62.0,slic_analyst,https://www.tmd.go.th/,"Bangkok tropical — hot and humid but consistent, sunny, AC ubiquitous. Better than monsoon extremes.",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,healthcare_quality_raw,Healthcare quality raw,capability,yes,85.0,slic_analyst,https://www.moph.go.th/,Bangkok world-class private hospitals at fraction of Western cost. Medical tourism hub. Bumrungrad etc.,2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,education_quality_raw,Education quality raw,capability,yes,65.0,slic_analyst,https://www.moe.go.th/,"Bangkok excellent international school network (ISB, NIST, Patana), Chulalongkorn/Mahidol improving",2024-01-01,
th-bangkok,Bangkok,Thailand,Southeast Asia,equal_opportunity_raw,Equal opportunity raw,capability,yes,42.0,slic_analyst,https://www.undp.org/,"Thailand relatively strong gender participation, women in business and politics, but class divide significant",2024-01-01,
